"","index.lci","X25.","index","X75.","index.uci","node","year","species","nknots"
"popr[21]3",17213.5381017526,20662.8990803823,22290.1314333337,23955.5585508136,27632.944615208,"popr[21]",2004,"TUPU",6
"popr[22]3",17326.390416377,20674.8064714325,22290.680757458,23971.8985032817,27735.4973268191,"popr[22]",2005,"TUPU",6
"popr[23]3",17491.3992320853,20711.1046765978,22321.1751543117,24046.7399326091,27871.5534128398,"popr[23]",2006,"TUPU",6
"popr[24]3",17694.9799667445,20789.0506983784,22383.9000031697,24125.6664561444,28031.6655883118,"popr[24]",2007,"TUPU",6
"popr[25]3",17901.5318409516,20875.1399102522,22473.9127176535,24214.98892313,28300.5577935169,"popr[25]",2008,"TUPU",6
"popr[26]3",17990.8745684412,20947.4064546563,22558.176584993,24372.1409143467,28552.5160978205,"popr[26]",2009,"TUPU",6
"popr[27]3",18028.8666801205,20991.8128237187,22645.6506894813,24532.5714780743,28973.3317361922,"popr[27]",2010,"TUPU",6
"popr[28]3",18006.3032832432,21032.5761771266,22727.7378518838,24708.0210343979,29482.3214484109,"popr[28]",2011,"TUPU",6
"popr[29]3",17896.076158941,21033.2542270035,22796.7497460198,24861.6246146188,29959.5884742606,"popr[29]",2012,"TUPU",6
"popr[30]3",17760.2202576562,21025.3114829191,22839.6592048211,25018.4348109248,30420.714790226,"popr[30]",2013,"TUPU",6
"popr[31]3",17679.1282609335,20995.5964073199,22884.3846539305,25139.6657428848,30762.6569552629,"popr[31]",2014,"TUPU",6
"popr[32]3",17561.2673073524,20959.8528272718,22915.2788860216,25224.225854627,31004.8630893754,"popr[32]",2015,"TUPU",6
"popr[33]3",17440.2582954821,20916.745117279,22913.3218489037,25272.65197733,31177.345504616,"popr[33]",2016,"TUPU",6
"popr[34]3",17318.5169491037,20869.5751920457,22900.6766733285,25304.7006547354,31271.00715208,"popr[34]",2017,"TUPU",6
"popr[35]3",17111.2914307205,20791.7335158831,22888.8129506154,25369.5626211851,31562.6269847496,"popr[35]",2018,"TUPU",6
"popr[36]3",16920.3938215458,20665.3752630681,22860.4853959331,25451.0013105206,31898.1737038697,"popr[36]",2019,"TUPU",6
